,estimate,trip,pickup_estimate
1,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.86, 'display_amount': '1.4-1.86', 'display_name': 'Distance', 'low_amount': 1.4}, {'high_amount': 1.54, 'display_amount': '1.15-1.54', 'display_name': 'Time', 'low_amount': 1.15}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 1.24}",6
2,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/c63f78ba-c26f-452c-9474-4f675a7fd343', 'high_estimate': 21, 'expires_at': 1542217556, 'surge_confirmation_id': 'c63f78ba-c26f-452c-9474-4f675a7fd343', 'minimum': 9, 'low_estimate': 16, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.39, 'display_amount': '4.04-5.39', 'display_name': 'Distance', 'low_amount': 4.04}, {'high_amount': 8.41, 'display_amount': '6.75-8.41', 'display_name': 'Surge x1.7', 'low_amount': 6.75}, {'high_amount': 4.13, 'display_amount': '3.1-4.13', 'display_name': 'Time', 'low_amount': 3.1}], 'surge_multiplier': 1.7, 'display': '£16-21', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1380, 'distance_estimate': 3.59}",14
3,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/bfb8b015-71e1-49f0-b412-f52357c7e796', 'high_estimate': 11, 'expires_at': 1542217557, 'surge_confirmation_id': 'bfb8b015-71e1-49f0-b412-f52357c7e796', 'minimum': 6, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.59, 'display_amount': '2.69-3.59', 'display_name': 'Distance', 'low_amount': 2.69}, {'high_amount': 1.7, 'display_amount': '1.4-1.7', 'display_name': 'Surge x1.2', 'low_amount': 1.4}, {'high_amount': 2.42, 'display_amount': '1.81-2.42', 'display_name': 'Time', 'low_amount': 1.81}], 'surge_multiplier': 1.2, 'display': '£8-11', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 780, 'distance_estimate': 2.39}",10
4,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/433bb6ee-608d-4c59-970c-57e0335d4ac3', 'high_estimate': 8, 'expires_at': 1542217558, 'surge_confirmation_id': '433bb6ee-608d-4c59-970c-57e0335d4ac3', 'minimum': 6, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.66, 'display_amount': '0.49-0.66', 'display_name': 'Distance', 'low_amount': 0.49}, {'high_amount': 1.12, 'display_amount': '1.47-1.12', 'display_name': '£5.00 Minimum', 'low_amount': 1.47}, {'high_amount': 1.0, 'display_amount': '1', 'display_name': 'Surge x1.2', 'low_amount': 1.0}, {'high_amount': 0.72, 'display_amount': '0.54-0.72', 'display_name': 'Time', 'low_amount': 0.54}], 'surge_multiplier': 1.2, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 240, 'distance_estimate': 0.44}",14
5,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/0b6d2d53-f01a-468a-a10f-35ecdd3256e7', 'high_estimate': 10, 'expires_at': 1542217559, 'surge_confirmation_id': '0b6d2d53-f01a-468a-a10f-35ecdd3256e7', 'minimum': 6, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.44, 'display_amount': '1.83-2.44', 'display_name': 'Distance', 'low_amount': 1.83}, {'high_amount': 1.53, 'display_amount': '1.27-1.53', 'display_name': 'Surge x1.2', 'low_amount': 1.27}, {'high_amount': 2.72, 'display_amount': '2.04-2.72', 'display_name': 'Time', 'low_amount': 2.04}], 'surge_multiplier': 1.2, 'display': '£7-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 1.62}",13
6,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.56, 'display_amount': '1.93-2.56', 'display_name': 'Distance', 'low_amount': 1.93}, {'high_amount': 3.24, 'display_amount': '2.43-3.24', 'display_name': 'Time', 'low_amount': 2.43}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1080, 'distance_estimate': 1.71}",24
7,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/11f8b00d-16c1-422d-b7ae-d91a303a5703', 'high_estimate': 9, 'expires_at': 1542217562, 'surge_confirmation_id': '11f8b00d-16c1-422d-b7ae-d91a303a5703', 'minimum': 7, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.58, 'display_amount': '1.19-1.58', 'display_name': 'Distance', 'low_amount': 1.19}, {'high_amount': 2.41, 'display_amount': '2.06-2.41', 'display_name': 'Surge x1.4', 'low_amount': 2.06}, {'high_amount': 1.95, 'display_amount': '1.46-1.95', 'display_name': 'Time', 'low_amount': 1.46}], 'surge_multiplier': 1.4, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 660, 'distance_estimate': 1.05}",16
8,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/f26373d0-d771-4ccc-901c-f5b5de203fd1', 'high_estimate': 9, 'expires_at': 1542217562, 'surge_confirmation_id': 'f26373d0-d771-4ccc-901c-f5b5de203fd1', 'minimum': 6, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.28, 'display_amount': '1.7-2.28', 'display_name': 'Distance', 'low_amount': 1.7}, {'high_amount': 1.44, 'display_amount': '1.2-1.44', 'display_name': 'Surge x1.2', 'low_amount': 1.2}, {'high_amount': 2.42, 'display_amount': '1.81-2.42', 'display_name': 'Time', 'low_amount': 1.81}], 'surge_multiplier': 1.2, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 780, 'distance_estimate': 1.52}",7
9,"{'surge_confirmation_href': None, 'high_estimate': 11, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.43, 'display_amount': '2.56-3.43', 'display_name': 'Distance', 'low_amount': 2.56}, {'high_amount': 4.21, 'display_amount': '3.16-4.21', 'display_name': 'Time', 'low_amount': 3.16}], 'surge_multiplier': 1.0, 'display': '£8-11', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1380, 'distance_estimate': 2.28}",15
10,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/54ecf636-ead8-4c28-b2eb-3f5db0fc59a5', 'high_estimate': 9, 'expires_at': 1542217564, 'surge_confirmation_id': '54ecf636-ead8-4c28-b2eb-3f5db0fc59a5', 'minimum': 8, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.6, 'display_amount': '1.2-1.6', 'display_name': 'Distance', 'low_amount': 1.2}, {'high_amount': None, 'display_amount': '0.26', 'display_name': '£5.00 Minimum', 'low_amount': 0.26}, {'high_amount': 3.29, 'display_amount': '3-3.29', 'display_name': 'Surge x1.6', 'low_amount': 3.0}, {'high_amount': 1.39, 'display_amount': '1.04-1.39', 'display_name': 'Time', 'low_amount': 1.04}], 'surge_multiplier': 1.6, 'display': '£8-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.07}",13
