,estimate,trip,pickup_estimate
1,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.35, 'display_amount': '1.01-1.35', 'display_name': 'Distance', 'low_amount': 1.01}, {'high_amount': 0.26, 'display_amount': '0.82-0.26', 'display_name': '£5.00 Minimum', 'low_amount': 0.82}, {'high_amount': 0.89, 'display_amount': '0.67-0.89', 'display_name': 'Time', 'low_amount': 0.67}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 300, 'distance_estimate': 0.9}",10
2,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.56, 'display_amount': '1.16-1.56', 'display_name': 'Distance', 'low_amount': 1.16}, {'high_amount': None, 'display_amount': '0.21', 'display_name': '£5.00 Minimum', 'low_amount': 0.21}, {'high_amount': 1.51, 'display_amount': '1.13-1.51', 'display_name': 'Time', 'low_amount': 1.13}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.04}",9
3,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.46, 'display_amount': '3.35-4.46', 'display_name': 'Distance', 'low_amount': 3.35}, {'high_amount': 4.19, 'display_amount': '3.14-4.19', 'display_name': 'Time', 'low_amount': 3.14}], 'surge_multiplier': 1.0, 'display': 'PK-£12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1380, 'distance_estimate': 2.98}",11
4,"{'surge_confirmation_href': None, 'high_estimate': 11, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.34, 'display_amount': '2.5-3.34', 'display_name': 'Distance', 'low_amount': 2.5}, {'high_amount': 4.31, 'display_amount': '3.23-4.31', 'display_name': 'Time', 'low_amount': 3.23}], 'surge_multiplier': 1.0, 'display': '£8-11', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1440, 'distance_estimate': 2.23}",4
5,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.05, 'display_amount': '2.29-3.05', 'display_name': 'Distance', 'low_amount': 2.29}, {'high_amount': 2.39, 'display_amount': '1.79-2.39', 'display_name': 'Time', 'low_amount': 1.79}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 780, 'distance_estimate': 2.03}",4
6,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.68, 'display_amount': '0.51-0.68', 'display_name': 'Distance', 'low_amount': 0.51}, {'high_amount': 0.85, 'display_amount': '1.27-0.85', 'display_name': '£5.00 Minimum', 'low_amount': 1.27}, {'high_amount': 0.97, 'display_amount': '0.72-0.97', 'display_name': 'Time', 'low_amount': 0.72}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 300, 'distance_estimate': 0.45}",9
7,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.75, 'display_amount': '2.06-2.75', 'display_name': 'Distance', 'low_amount': 2.06}, {'high_amount': 3.46, 'display_amount': '2.6-3.46', 'display_name': 'Time', 'low_amount': 2.6}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1140, 'distance_estimate': 1.83}",4
8,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.08, 'display_amount': '0.81-1.08', 'display_name': 'Distance', 'low_amount': 0.81}, {'high_amount': None, 'display_amount': '0.18', 'display_name': '£5.00 Minimum', 'low_amount': 0.18}, {'high_amount': 2.01, 'display_amount': '1.51-2.01', 'display_name': 'Time', 'low_amount': 1.51}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 660, 'distance_estimate': 0.72}",4
9,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.43, 'display_amount': '1.83-2.43', 'display_name': 'Distance', 'low_amount': 1.83}, {'high_amount': 3.52, 'display_amount': '2.64-3.52', 'display_name': 'Time', 'low_amount': 2.64}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1200, 'distance_estimate': 1.62}",9
10,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.66, 'display_amount': '1.25-1.66', 'display_name': 'Distance', 'low_amount': 1.25}, {'high_amount': None, 'display_amount': '0.51', 'display_name': '£5.00 Minimum', 'low_amount': 0.51}, {'high_amount': 0.99, 'display_amount': '0.74-0.99', 'display_name': 'Time', 'low_amount': 0.74}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 1.11}",14
11,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.85, 'display_amount': '2.14-2.85', 'display_name': 'Distance', 'low_amount': 2.14}, {'high_amount': 2.57, 'display_amount': '1.93-2.57', 'display_name': 'Time', 'low_amount': 1.93}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 1.9}",7
12,"{'surge_confirmation_href': None, 'high_estimate': 10, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.08, 'display_amount': '3.05-4.08', 'display_name': 'Distance', 'low_amount': 3.05}, {'high_amount': 2.87, 'display_amount': '2.15-2.87', 'display_name': 'Time', 'low_amount': 2.15}], 'surge_multiplier': 1.0, 'display': '£7-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 960, 'distance_estimate': 2.72}",7
13,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.79, 'display_amount': '3.59-4.79', 'display_name': 'Distance', 'low_amount': 3.59}, {'high_amount': 4.16, 'display_amount': '3.12-4.16', 'display_name': 'Time', 'low_amount': 3.12}], 'surge_multiplier': 1.0, 'display': '£9-12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1380, 'distance_estimate': 3.19}",16
14,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.56, 'display_amount': '1.18-1.56', 'display_name': 'Distance', 'low_amount': 1.18}, {'high_amount': None, 'display_amount': '0.53', 'display_name': '£5.00 Minimum', 'low_amount': 0.53}, {'high_amount': 1.06, 'display_amount': '0.79-1.06', 'display_name': 'Time', 'low_amount': 0.79}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 1.04}",12
15,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.6, 'display_amount': '1.95-2.6', 'display_name': 'Distance', 'low_amount': 1.95}, {'high_amount': 2.72, 'display_amount': '2.04-2.72', 'display_name': 'Time', 'low_amount': 2.04}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 1.73}",14
16,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.61, 'display_amount': '1.21-1.61', 'display_name': 'Distance', 'low_amount': 1.21}, {'high_amount': 1.72, 'display_amount': '1.29-1.72', 'display_name': 'Time', 'low_amount': 1.29}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.08}",9
17,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.06, 'display_amount': '1.54-2.06', 'display_name': 'Distance', 'low_amount': 1.54}, {'high_amount': None, 'display_amount': '0.12', 'display_name': '£5.00 Minimum', 'low_amount': 0.12}, {'high_amount': 1.12, 'display_amount': '0.84-1.12', 'display_name': 'Time', 'low_amount': 0.84}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 1.37}",13
18,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.74, 'display_amount': '2.8-3.74', 'display_name': 'Distance', 'low_amount': 2.8}, {'high_amount': 2.18, 'display_amount': '1.63-2.18', 'display_name': 'Time', 'low_amount': 1.63}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 2.49}",16
19,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.61, 'display_amount': '1.21-1.61', 'display_name': 'Distance', 'low_amount': 1.21}, {'high_amount': None, 'display_amount': '0.45', 'display_name': '£5.00 Minimum', 'low_amount': 0.45}, {'high_amount': 1.13, 'display_amount': '0.84-1.13', 'display_name': 'Time', 'low_amount': 0.84}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 1.08}",11
20,"{'surge_confirmation_href': None, 'high_estimate': 10, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.44, 'display_amount': '3.33-4.44', 'display_name': 'Distance', 'low_amount': 3.33}, {'high_amount': 2.14, 'display_amount': '1.6-2.14', 'display_name': 'Time', 'low_amount': 1.6}], 'surge_multiplier': 1.0, 'display': '£7-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 2.96}",7
21,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.71, 'display_amount': '0.54-0.71', 'display_name': 'Distance', 'low_amount': 0.54}, {'high_amount': 0.68, 'display_amount': '1.13-0.68', 'display_name': '£5.00 Minimum', 'low_amount': 1.13}, {'high_amount': 1.11, 'display_amount': '0.83-1.11', 'display_name': 'Time', 'low_amount': 0.83}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.48}",8
